A	B
ADIPOR2	ECHDC1
MGST1	ECHDC1
ELOVL5	ECHDC1
MDH1	ECHDC1
CS	ECHDC1
ME1	ECHDC1
MCCC1	ECHDC1
KRT33A	KRT31
PAF1	DHPS
PRKAR2B	EPB41L4B
MGST1	EPB41L4B
ABHD5	EPB41L4B
AIFM2	EPB41L4B
PTGER3	EPB41L4B
HEBP2	EPB41L4B
ATP9A	EPB41L4B
GYG2	EPB41L4B
PKP2	EPB41L4B
ACACB	EPB41L4B
MCCC1	EPB41L4B
LIPE	EPB41L4B
PGM1	EPB41L4B
TYRO3	EPB41L4B
TFPI	TMEM38B
ARHGAP6	TMEM38B
AP1M1	CRAT
DGKA	TBC1D2
KCNAB2	TBC1D2
GPR137B	TBC1D2
AIFM2	SORBS1
ATP9A	SORBS1
MAOB	SORBS1
OXCT1	SORBS1
TNFRSF1B	CREM
MXD1	CREM
FKBP1A	CREM
PLEKHG2	CREM
MATK	TREM2
KCNAB2	TREM2
VPS13D	BRPF3
ZFP64	TMEM14A
CRMP1	TMEM14A
FKBP7	TMEM14A
DYNLL1	TMEM14A
PUM3	HSP90AB1
NOP14	HSP90AB1
ASAP3	ITPR3
FAM214A	JAK2
FOXN3	JAK2
ARHGAP10	JAK2
EIPR1	ACOT7
SEC62	SH3GLB1
CCDC124	TMED1
USE1	TMED1
KDM7A	ABLIM1
XPO1	ERMP1
TMED2	RAB18
DHX32	RAB18
TNFRSF1B	NRP1
MFAP3	NRP1
STK10	NRP1
MECOM	NRP1
FKBP1A	NRP1
SEL1L3	NRP1
CREM	NRP1
KLHL13	PRTFDC1
